,efficiency_score
0,13.093715528025173
1,14.33839893270576
2,13.620815682025716
3,19.701618413748545
4,8.778339855909923
5,16.35611037715369
6,14.995020299790024
7,16.297556259806033
8,16.508809565992777
9,18.313539695553633
10,14.41999311395404
11,25.526242411567956
12,10.801226645017973
13,22.20005003586256
14,19.674305919143094
15,21.142685293366682
16,12.830878234142387
17,8.514198694033734
18,13.332625915058877
19,22.810869597058627
20,13.942901002761616
21,10.39347080159934
22,19.679000770476883
23,10.510026039784297
24,9.111257582627042
25,14.57040942495931
26,13.043804421653793
27,17.986921936635667
28,20.25524259915085
29,10.245928984754878
30,9.14878502218501
31,21.17666390742944
32,19.409881066022336
33,6.184690937916586
34,13.903835541568341
35,18.69208637023591
36,2.3430128294389734
37,10.832423718950224
38,16.700181705355153
39,16.339504430043544
40,12.568700833835614
41,23.85347223713125
42,25.54474204090117
43,10.359019933809027
44,23.114027339105668
45,15.761159031258865
46,0.0
47,10.455417315174799
48,5.57583078679811
49,11.639187173929761
50,17.227329927157797
51,10.60222828200866
52,12.26545330193045
53,11.069333951878468
54,21.99568284344989
55,8.962493756098244
56,14.823124554934708
57,11.600380692090322
58,0.41458871334441744
59,11.361556029998503
60,12.53669337914623
61,6.787410911215108
62,14.187556776446502
63,17.838984077258033
64,13.575568576770245
65,11.935405804180373
66,11.790060899549966
67,16.223557368471127
68,6.218195114059834
69,9.44644283145903
70,15.386779651276692
71,12.41873429769351
72,10.42227337743766
73,10.202011044782038
74,12.441384453169698
75,12.487047384023246
76,11.837330219674264
77,10.694629603532876
78,6.384176131216075
79,13.830069936168442
80,11.65584150104822
81,14.927080275509507
82,11.204910493766056
83,9.822440399312688
84,18.842947949077686
85,14.749789269129817
86,9.067977114888452
87,10.6510984840564
88,6.673345907797029
89,11.071195460837787
90,17.1118234130392
91,13.594927466204695
92,15.921614915894194
93,12.711594768864543
94,9.774093994951976
95,13.443228269609635
96,0.3849927857494712
97,16.213059416077048
98,13.260340091625869
99,12.690931033105974
100,11.493750860226184
101,12.278847433407691
102,12.68537393638196
103,15.255289556568943
104,20.31875974383986
105,27.102311468623547
106,9.129020385660413
107,8.957643813098107
